gvkey,cik,conm,Role,Source,Date,Time,Title,Content
184585,1473334,WALL STREET MEDIA CO,"CEO, Chief Executive Officer",,,,,
184585,1473334,WALL STREET MEDIA CO,"CFO, Chief Financial Officer",,,,,
16564,1473490,CEQUENCE ENERGY LTD,"CEO, Chief Executive Officer",,,,,
16564,1473490,CEQUENCE ENERGY LTD,"CFO, Chief Financial Officer",,,,,
178236,1473505,BOSTON THERAPEUTICS INC,"CEO, Chief Executive Officer",,,,,
178236,1473505,BOSTON THERAPEUTICS INC,"CFO, Chief Financial Officer",,,,,
170827,1473579,STR HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
170827,1473579,STR HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
180597,1473597,LEVELBLOX INC,"CEO, Chief Executive Officer",,,,,
180597,1473597,LEVELBLOX INC,"CFO, Chief Financial Officer",,,,,
194855,1473654,CBTX INC,"CEO, Chief Executive Officer",,,,,
194855,1473654,CBTX INC,"CFO, Chief Financial Officer",,,,,
32600,1473844,BALTIC TRADING LTD,"CEO, Chief Executive Officer",,,,,
32600,1473844,BALTIC TRADING LTD,"CFO, Chief Financial Officer",,,,,
183700,1474042,PEBBLEBROOK HOTEL TRUST,"CEO, Chief Executive Officer",,,,,
183700,1474042,PEBBLEBROOK HOTEL TRUST,"CFO, Chief Financial Officer",,,,,
183830,1474098,COSMOS HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
183830,1474098,COSMOS HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
18874,1474167,NORONT RESOURCES LTD,"CEO, Chief Executive Officer",,,,,
18874,1474167,NORONT RESOURCES LTD,"CFO, Chief Financial Officer",,,,,
107616,1474231,MOOD MEDIA CORP,"CEO, Chief Executive Officer",,,,,
107616,1474231,MOOD MEDIA CORP,"CFO, Chief Financial Officer",,,,,
180270,1474248,VIRIDIS HOLDINGS CORP,"CEO, Chief Executive Officer",,,,,
180270,1474248,VIRIDIS HOLDINGS CORP,"CFO, Chief Financial Officer",,,,,
118182,1474305,PURE STORAGE INC,"CEO, Chief Executive Officer",,,,,
118182,1474305,PURE STORAGE INC,"CFO, Chief Financial Officer",,,,,
25756,1474432,TELENAV INC,"CEO, Chief Executive Officer",,,,,
25756,1474432,TELENAV INC,"CFO, Chief Financial Officer",,,,,
184101,1474439,NEW YORK REIT INC,"CEO, Chief Executive Officer",,,,,
184101,1474439,NEW YORK REIT INC,"CFO, Chief Financial Officer",,,,,
20280,1474464,TASMAN METALS LTD,"CEO, Chief Executive Officer",,,,,
20280,1474464,TASMAN METALS LTD,"CFO, Chief Financial Officer",,,,,
183806,1474547,LIANLUO SMART LTD,"CEO, Chief Executive Officer",,,,,
183806,1474547,LIANLUO SMART LTD,"CFO, Chief Financial Officer",,,,,
183850,1474627,GENERAC HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
183850,1474627,GENERAC HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
183736,1474735,AMERICAN FARMLAND CO,"CEO, Chief Executive Officer",,,,,
183736,1474735,AMERICAN FARMLAND CO,"CFO, Chief Financial Officer",,,,,
24896,1474777,INTELLIPHARMACEUTICS INTL,"CEO, Chief Executive Officer",,,,,
24896,1474777,INTELLIPHARMACEUTICS INTL,"CFO, Chief Financial Officer",,,,,
183739,1474835,BG STAFFING INC,"CEO, Chief Executive Officer",,,,,
183739,1474835,BG STAFFING INC,"CFO, Chief Financial Officer",,,,,
20044,1474903,EVENTBRITE INC,"CEO, Chief Executive Officer",,,,,
20044,1474903,EVENTBRITE INC,"CFO, Chief Financial Officer",,,,,
34076,1475115,SAMA RESOURCES INC,"CEO, Chief Executive Officer",,,,,
34076,1475115,SAMA RESOURCES INC,"CFO, Chief Financial Officer",,,,,
294911,1475252,CENOVUS ENERGY INC,"CEO, Chief Executive Officer",,,,,
294911,1475252,CENOVUS ENERGY INC,"CFO, Chief Financial Officer",,,,,
183791,1475260,SOUPMAN INC,"CEO, Chief Executive Officer",,,,,
183791,1475260,SOUPMAN INC,"CFO, Chief Financial Officer",,,,,
186362,1475273,RETAILMENOT INC,"CEO, Chief Executive Officer",,,,,
186362,1475273,RETAILMENOT INC,"CFO, Chief Financial Officer",,,,,
18177,1475274,LUTHER BURBANK CORP,"CEO, Chief Executive Officer",,,,,
18177,1475274,LUTHER BURBANK CORP,"CFO, Chief Financial Officer",,,,,
32763,1475348,NEWMARKET GOLD INC,"CEO, Chief Executive Officer",,,,,
32763,1475348,NEWMARKET GOLD INC,"CFO, Chief Financial Officer",,,,,
183816,1475470,MEGA URANIUM LTD,"CEO, Chief Executive Officer",,,,,
183816,1475470,MEGA URANIUM LTD,"CFO, Chief Financial Officer",,,,,
140387,1475655,NATIONAL BANK HLDGS CORP,"CEO, Chief Executive Officer",,,,,
140387,1475655,NATIONAL BANK HLDGS CORP,"CFO, Chief Financial Officer",,,,,
190963,1475841,SABLE NATURAL RESOURCES CORP,"CEO, Chief Executive Officer",,,,,
190963,1475841,SABLE NATURAL RESOURCES CORP,"CFO, Chief Financial Officer",,,,,
186353,1475899,PRIMERICA INC,"CEO, Chief Executive Officer",,,,,
186353,1475899,PRIMERICA INC,"CFO, Chief Financial Officer",,,,,
1414,1475922,METROPOLITAN BANK HLDNG,"CEO, Chief Executive Officer",,,,,
1414,1475922,METROPOLITAN BANK HLDNG,"CFO, Chief Financial Officer",,,,,
32519,1476034,CHATHAM LODGING TRUST,"CEO, Chief Executive Officer",,,,,
32519,1476034,CHATHAM LODGING TRUST,"CFO, Chief Financial Officer",,,,,
184688,1476045,TERRENO REALTY CORP,"CEO, Chief Executive Officer",,,,,
184688,1476045,TERRENO REALTY CORP,"CFO, Chief Financial Officer",,,,,
183833,1476150,UNILIFE CORP,"CEO, Chief Executive Officer",,,,,
183833,1476150,UNILIFE CORP,"CFO, Chief Financial Officer",,,,,
254399,1476170,TROPICANA ENTERTAINMENT INC,"CEO, Chief Executive Officer",,,,,
254399,1476170,TROPICANA ENTERTAINMENT INC,"CFO, Chief Financial Officer",,,,,
184619,1476246,WASHINGTONFIRST BANKSHARES,"CEO, Chief Executive Officer",,,,,
184619,1476246,WASHINGTONFIRST BANKSHARES,"CFO, Chief Financial Officer",,,,,
160546,1476264,FCB FINANCIAL HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
160546,1476264,FCB FINANCIAL HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
187252,1476651,TOROMONT INDUSTRIES LTD,"CEO, Chief Executive Officer",,,,,
187252,1476651,TOROMONT INDUSTRIES LTD,"CFO, Chief Financial Officer",,,,,
15020,1476708,GOLUB CAPITAL BDC INC,"CEO, Chief Executive Officer",,,,,
15020,1476708,GOLUB CAPITAL BDC INC,"CFO, Chief Financial Officer",,,,,
184689,1476765,HEAT BIOLOGICS INC,"CEO, Chief Executive Officer",,,,,
184689,1476765,HEAT BIOLOGICS INC,"CFO, Chief Financial Officer",,,,,
17910,1476963,GENERAL CANNABIS CORP,"CEO, Chief Executive Officer",,,,,
17910,1476963,GENERAL CANNABIS CORP,"CFO, Chief Financial Officer",,,,,
18616,1477009,BNK PETROLEUM INC,"CEO, Chief Executive Officer",,,,,
18616,1477009,BNK PETROLEUM INC,"CFO, Chief Financial Officer",,,,,
180401,1477081,STAR MOUNTAIN RESOURCES INC,"CEO, Chief Executive Officer",,,,,
180401,1477081,STAR MOUNTAIN RESOURCES INC,"CFO, Chief Financial Officer",,,,,
16130,1477168,ROCKET FUEL INC,"CEO, Chief Executive Officer",,,,,
16130,1477168,ROCKET FUEL INC,"CFO, Chief Financial Officer",,,,,
18584,1477200,BELL COPPER CORP,"CEO, Chief Executive Officer",,,,,
18584,1477200,BELL COPPER CORP,"CFO, Chief Financial Officer",,,,,
164630,1477201,S&W SEED CO,"CEO, Chief Executive Officer",,,,,
164630,1477201,S&W SEED CO,"CFO, Chief Financial Officer",,,,,
184259,1477246,SENSATA TECHNOLOGES HLDG PLC,"CEO, Chief Executive Officer",,,,,
184259,1477246,SENSATA TECHNOLOGES HLDG PLC,"CFO, Chief Financial Officer",,,,,
183942,1477294,IFM INVESTMENTS LTD,"CEO, Chief Executive Officer",,,,,
183942,1477294,IFM INVESTMENTS LTD,"CFO, Chief Financial Officer",,,,,
184116,1477324,SENDGRID INC,"CEO, Chief Executive Officer",,,,,
184116,1477324,SENDGRID INC,"CFO, Chief Financial Officer",,,,,
32675,1477425,TELADOC HEALTH INC,"CEO, Chief Executive Officer",,,,,
32675,1477425,TELADOC HEALTH INC,"CFO, Chief Financial Officer",,,,,
24249,1477449,DAQO NEW ENERGY CORP,"CEO, Chief Executive Officer",,,,,
24249,1477449,DAQO NEW ENERGY CORP,"CFO, Chief Financial Officer",,,,,
184155,1477641,CONTINENTAL GOLD INC,"CEO, Chief Executive Officer",,,,,
184155,1477641,CONTINENTAL GOLD INC,"CFO, Chief Financial Officer",,,,,
184711,1477943,CONTRAFECT CORP,"CEO, Chief Executive Officer",,,,,
184711,1477943,CONTRAFECT CORP,"CFO, Chief Financial Officer",,,,,
21223,1478069,PFENEX INC,"CEO, Chief Executive Officer",,,,,
21223,1478069,PFENEX INC,"CFO, Chief Financial Officer",,,,,
20798,1478121,IQVIA HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
20798,1478121,IQVIA HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
17928,1478242,MED BIOGENE INC,"CEO, Chief Executive Officer",,,,,
17928,1478242,MED BIOGENE INC,"CFO, Chief Financial Officer",,,,,
174329,1478455,ZULILY INC,"CEO, Chief Executive Officer",,,,,
174329,1478455,ZULILY INC,"CFO, Chief Financial Officer",,,,,
18900,1478484,EMPIRE POST MEDIA INC,"CEO, Chief Executive Officer",,,,,
18900,1478484,EMPIRE POST MEDIA INC,"CFO, Chief Financial Officer",,,,,
186568,1478682,VIRTUS OIL & GAS CORP,"CEO, Chief Executive Officer",,,,,
186568,1478682,VIRTUS OIL & GAS CORP,"CFO, Chief Financial Officer",,,,,
186110,1478725,CHARTER FINANCIAL CORP/MD,"CEO, Chief Executive Officer",,,,,
186110,1478725,CHARTER FINANCIAL CORP/MD,"CFO, Chief Financial Officer",,,,,
145636,1478726,EXCEL TRUST INC,"CEO, Chief Executive Officer",,,,,
145636,1478726,EXCEL TRUST INC,"CFO, Chief Financial Officer",,,,,
184449,1478950,VIVA ENTERTAINMENT GROUP INC,"CEO, Chief Executive Officer",,,,,
184449,1478950,VIVA ENTERTAINMENT GROUP INC,"CFO, Chief Financial Officer",,,,,
27714,1479000,XEBEC ADSORPTION INC,"CEO, Chief Executive Officer",,,,,
27714,1479000,XEBEC ADSORPTION INC,"CFO, Chief Financial Officer",,,,,
162564,1479013,STAG INDUSTRIAL INC,"CEO, Chief Executive Officer",,,,,
162564,1479013,STAG INDUSTRIAL INC,"CFO, Chief Financial Officer",,,,,
185339,1479094,REVANCE THERAPEUTICS INC,"CEO, Chief Executive Officer",,,,,
185339,1479094,REVANCE THERAPEUTICS INC,"CFO, Chief Financial Officer",,,,,
19471,1479290,MIGAO CORP,"CEO, Chief Executive Officer",,,,,
19471,1479290,MIGAO CORP,"CFO, Chief Financial Officer",,,,,
277847,1479300,KALA PHARMECUTICAL INC,"CEO, Chief Executive Officer",,,,,
277847,1479300,KALA PHARMECUTICAL INC,"CFO, Chief Financial Officer",,,,,
32018,1479419,CANDENTE GOLD CORP,"CEO, Chief Executive Officer",,,,,
32018,1479419,CANDENTE GOLD CORP,"CFO, Chief Financial Officer",,,,,
184096,1479480,NEW WESTERN ENERGY CORP,"CEO, Chief Executive Officer",,,,,
184096,1479480,NEW WESTERN ENERGY CORP,"CFO, Chief Financial Officer",,,,,
186531,1479488,CHINA MODERN AGRL INFO INC,"CEO, Chief Executive Officer",,,,,
186531,1479488,CHINA MODERN AGRL INFO INC,"CFO, Chief Financial Officer",,,,,
186389,1479526,AZIMUT EXPLORATION INC,"CEO, Chief Executive Officer",,,,,
186389,1479526,AZIMUT EXPLORATION INC,"CFO, Chief Financial Officer",,,,,
106363,1479736,CAPITAL BANK FINANCIAL CORP,"CEO, Chief Executive Officer",,,,,
106363,1479736,CAPITAL BANK FINANCIAL CORP,"CFO, Chief Financial Officer",,,,,
187549,1479750,LITHIUM AMERICAS CORP -OLD,"CEO, Chief Executive Officer",,,,,
187549,1479750,LITHIUM AMERICAS CORP -OLD,"CFO, Chief Financial Officer",,,,,
184866,1480058,SAN MARCO RESOURCES INC,"CEO, Chief Executive Officer",,,,,
184866,1480058,SAN MARCO RESOURCES INC,"CFO, Chief Financial Officer",,,,,
179143,1480313,REDHAWK RESOURCES INC,"CEO, Chief Executive Officer",,,,,
179143,1480313,REDHAWK RESOURCES INC,"CFO, Chief Financial Officer",,,,,
108015,1481098,MASSIVE INTERACTIVE INC,"CEO, Chief Executive Officer",,,,,
108015,1481098,MASSIVE INTERACTIVE INC,"CFO, Chief Financial Officer",,,,,
161911,1481218,DIANA CONTAINERSHIPS INC,"CEO, Chief Executive Officer",,,,,
161911,1481218,DIANA CONTAINERSHIPS INC,"CFO, Chief Financial Officer",,,,,
186197,1481241,REJUVEL BIO-SCIENCES INC,"CEO, Chief Executive Officer",,,,,
186197,1481241,REJUVEL BIO-SCIENCES INC,"CFO, Chief Financial Officer",,,,,
19821,1481427,RA PHARMACEUTICALS INC,"CEO, Chief Executive Officer",,,,,
19821,1481427,RA PHARMACEUTICALS INC,"CFO, Chief Financial Officer",,,,,
28470,1481512,JINKOSOLAR HOLDING CO,"CEO, Chief Executive Officer",,,,,
28470,1481512,JINKOSOLAR HOLDING CO,"CFO, Chief Financial Officer",,,,,
184182,1481513,RYERSON HOLDING CORP,"CEO, Chief Executive Officer",,,,,
184182,1481513,RYERSON HOLDING CORP,"CFO, Chief Financial Officer",,,,,
5968,1481582,CONDOR PETROLEUM INC,"CEO, Chief Executive Officer",,,,,
5968,1481582,CONDOR PETROLEUM INC,"CFO, Chief Financial Officer",,,,,
186908,1481691,QUAD/GRAPHICS INC,"CEO, Chief Executive Officer",,,,,
186908,1481691,QUAD/GRAPHICS INC,"CFO, Chief Financial Officer",,,,,
184748,1481792,PREFERRED APARTMENT CMNTYS,"CEO, Chief Executive Officer",,,,,
184748,1481792,PREFERRED APARTMENT CMNTYS,"CFO, Chief Financial Officer",,,,,
185345,1481832,STRATEX OIL & GAS HLDGS INC,"CEO, Chief Executive Officer",,,,,
185345,1481832,STRATEX OIL & GAS HLDGS INC,"CFO, Chief Financial Officer",,,,,
12990,1482361,HUDSON PACIFIC PPTYS INC,"CEO, Chief Executive Officer",,,,,
12990,1482361,HUDSON PACIFIC PPTYS INC,"CFO, Chief Financial Officer",,,,,
185018,1482512,SURNA INC,"CEO, Chief Executive Officer",,,,,
185018,1482512,SURNA INC,"CFO, Chief Financial Officer",,,,,
186779,1482541,OREZONE GOLD CORP,"CEO, Chief Executive Officer",,,,,
186779,1482541,OREZONE GOLD CORP,"CFO, Chief Financial Officer",,,,,
182539,1482601,ETHOS GOLD CORP,"CEO, Chief Executive Officer",,,,,
182539,1482601,ETHOS GOLD CORP,"CFO, Chief Financial Officer",,,,,
179124,1482753,PREMIER GOLD MINES LTD,"CEO, Chief Executive Officer",,,,,
179124,1482753,PREMIER GOLD MINES LTD,"CFO, Chief Financial Officer",,,,,
175407,1482754,DUNNEDIN VENTURES INC,"CEO, Chief Executive Officer",,,,,
175407,1482754,DUNNEDIN VENTURES INC,"CFO, Chief Financial Officer",,,,,
127437,1483016,WILLIAMS PARTNERS LP,"CEO, Chief Executive Officer",,,,,
127437,1483016,WILLIAMS PARTNERS LP,"CFO, Chief Financial Officer",,,,,
163921,1483096,ORITANI FINANCIAL CORP,"CEO, Chief Executive Officer",,,,,
163921,1483096,ORITANI FINANCIAL CORP,"CFO, Chief Financial Officer",,,,,
176351,1483195,BELLATRIX EXPLORATION LTD,"CEO, Chief Executive Officer",,,,,
176351,1483195,BELLATRIX EXPLORATION LTD,"CFO, Chief Financial Officer",,,,,
108391,1483405,RED MOUNTAIN RESOURCES INC,"CEO, Chief Executive Officer",,,,,
108391,1483405,RED MOUNTAIN RESOURCES INC,"CFO, Chief Financial Officer",,,,,
187625,1483496,EXPRESS INC,"CEO, Chief Executive Officer",,,,,
187625,1483496,EXPRESS INC,"CFO, Chief Financial Officer",,,,,
184323,1483510,BLACKSTAR ENTERPRISE GROUP,"CEO, Chief Executive Officer",,,,,
184323,1483510,BLACKSTAR ENTERPRISE GROUP,"CFO, Chief Financial Officer",,,,,
66175,1483646,NISKA GAS STORAGE PARTNERS,"CEO, Chief Executive Officer",,,,,
66175,1483646,NISKA GAS STORAGE PARTNERS,"CFO, Chief Financial Officer",,,,,
174108,1483830,SCORPIO TANKERS INC,"CEO, Chief Executive Officer",,,,,
174108,1483830,SCORPIO TANKERS INC,"CFO, Chief Financial Officer",,,,,
184352,1483934,HUAZHU GROUP LIMITED - ADR,"CEO, Chief Executive Officer",,,,,
184352,1483934,HUAZHU GROUP LIMITED - ADR,"CFO, Chief Financial Officer",,,,,
184453,1483994,ALDERON IRON ORE CORP,"CEO, Chief Executive Officer",,,,,
184453,1483994,ALDERON IRON ORE CORP,"CFO, Chief Financial Officer",,,,,
107757,1484457,GIGAMON INC,"CEO, Chief Executive Officer",,,,,
107757,1484457,GIGAMON INC,"CFO, Chief Financial Officer",,,,,
12803,1484504,SOLENO THERAPEUTICS INC,"CEO, Chief Executive Officer",,,,,
12803,1484504,SOLENO THERAPEUTICS INC,"CFO, Chief Financial Officer",,,,,
20898,1484565,DIAMCOR MINING INC,"CEO, Chief Executive Officer",,,,,
20898,1484565,DIAMCOR MINING INC,"CFO, Chief Financial Officer",,,,,
105997,1484874,JACKSONVILLE BANCORP INC/MD,"CEO, Chief Executive Officer",,,,,
105997,1484874,JACKSONVILLE BANCORP INC/MD,"CFO, Chief Financial Officer",,,,,
31744,1484949,ONEIDA FINANCIAL CORP,"CEO, Chief Executive Officer",,,,,
31744,1484949,ONEIDA FINANCIAL CORP,"CFO, Chief Financial Officer",,,,,
117020,1485001,SESEN BIO INC,"CEO, Chief Executive Officer",,,,,
117020,1485001,SESEN BIO INC,"CFO, Chief Financial Officer",,,,,
19458,1485003,FOX CHASE BANCORP INC,"CEO, Chief Executive Officer",,,,,
19458,1485003,FOX CHASE BANCORP INC,"CFO, Chief Financial Officer",,,,,
175646,1485176,TOWER INTERNATIONAL INC,"CEO, Chief Executive Officer",,,,,
175646,1485176,TOWER INTERNATIONAL INC,"CFO, Chief Financial Officer",,,,,
184785,1485469,OSSEN INNOVATION CO LTD ,"CEO, Chief Executive Officer",,,,,
184785,1485469,OSSEN INNOVATION CO LTD ,"CFO, Chief Financial Officer",,,,,
185353,1485538,PRIME ACQUISITION CORP,"CEO, Chief Executive Officer",,,,,
185353,1485538,PRIME ACQUISITION CORP,"CFO, Chief Financial Officer",,,,,
186435,1485922,PEOPLES FEDERAL BANCSHS INC,"CEO, Chief Executive Officer",,,,,
186435,1485922,PEOPLES FEDERAL BANCSHS INC,"CFO, Chief Financial Officer",,,,,
185209,1485964,ARSENAL ENERGY INC,"CEO, Chief Executive Officer",,,,,
185209,1485964,ARSENAL ENERGY INC,"CFO, Chief Financial Officer",,,,,
154314,1486069,OASIS PETROLEUM INC,"CEO, Chief Executive Officer",,,,,
154314,1486069,OASIS PETROLEUM INC,"CFO, Chief Financial Officer",,,,,
184442,1486159,RENMIN TIANLI GROUP INC,"CEO, Chief Executive Officer",,,,,
184442,1486159,RENMIN TIANLI GROUP INC,"CFO, Chief Financial Officer",,,,,
184527,1486299,SUPERNOVA ENERGY INC,"CEO, Chief Executive Officer",,,,,
184527,1486299,SUPERNOVA ENERGY INC,"CFO, Chief Financial Officer",,,,,
185423,1486597,HIGHER ONE HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
185423,1486597,HIGHER ONE HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
184571,1486800,GREENFIELDS PETROLEUM CORP,"CEO, Chief Executive Officer",,,,,
184571,1486800,GREENFIELDS PETROLEUM CORP,"CFO, Chief Financial Officer",,,,,
187098,1486868,BWX TECHNOLOGIES INC,"CEO, Chief Executive Officer",,,,,
187098,1486868,BWX TECHNOLOGIES INC,"CFO, Chief Financial Officer",,,,,
185229,1486957,LEGACY TEX FINANCIAL GRP INC,"CEO, Chief Executive Officer",,,,,
185229,1486957,LEGACY TEX FINANCIAL GRP INC,"CFO, Chief Financial Officer",,,,,
174313,1487052,KEYW HOLDING CORP,"CEO, Chief Executive Officer",,,,,
174313,1487052,KEYW HOLDING CORP,"CFO, Chief Financial Officer",,,,,
185119,1487101,BARFRESH FOOD GROUP INC,"CEO, Chief Executive Officer",,,,,
185119,1487101,BARFRESH FOOD GROUP INC,"CFO, Chief Financial Officer",,,,,
170535,1487197,ASPEN GROUP INC,"CEO, Chief Executive Officer",,,,,
170535,1487197,ASPEN GROUP INC,"CFO, Chief Financial Officer",,,,,
170920,1487198,OCEANAGOLD CORP,"CEO, Chief Executive Officer",,,,,
170920,1487198,OCEANAGOLD CORP,"CFO, Chief Financial Officer",,,,,
260651,1487326,GENMARK DIAGNOSTICS INC,"CEO, Chief Executive Officer",,,,,
260651,1487326,GENMARK DIAGNOSTICS INC,"CFO, Chief Financial Officer",,,,,
184542,1487371,HORIZON TECHNOLOGY FINANCE,"CEO, Chief Executive Officer",,,,,
184542,1487371,HORIZON TECHNOLOGY FINANCE,"CFO, Chief Financial Officer",,,,,
185821,1487428,GRANITE OIL CORP,"CEO, Chief Executive Officer",,,,,
185821,1487428,GRANITE OIL CORP,"CFO, Chief Financial Officer",,,,,
183358,1487519,INNOVISION LABS INC,"CEO, Chief Executive Officer",,,,,
183358,1487519,INNOVISION LABS INC,"CFO, Chief Financial Officer",,,,,
18497,1487522,AIR LEASE CORP,"CEO, Chief Executive Officer",,,,,
18497,1487522,AIR LEASE CORP,"CFO, Chief Financial Officer",,,,,
186278,1487712,SPECTRUM BRANDS HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
186278,1487712,SPECTRUM BRANDS HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
65459,1487730,REVEN HOUSING REIT INC,"CEO, Chief Executive Officer",,,,,
65459,1487730,REVEN HOUSING REIT INC,"CFO, Chief Financial Officer",,,,,
186078,1487782,LUOKUNG TECHNOLOGY CORP,"CEO, Chief Executive Officer",,,,,
186078,1487782,LUOKUNG TECHNOLOGY CORP,"CFO, Chief Financial Officer",,,,,
34133,1487839,YANGTZE RIV PORT & LGSTC LTD,"CEO, Chief Executive Officer",,,,,
34133,1487839,YANGTZE RIV PORT & LGSTC LTD,"CFO, Chief Financial Officer",,,,,
26725,1487843,DIGILITI MONEY GROUP INC,"CEO, Chief Executive Officer",,,,,
26725,1487843,DIGILITI MONEY GROUP INC,"CFO, Chief Financial Officer",,,,,
21076,1487906,OFS CAPITAL CORP,"CEO, Chief Executive Officer",,,,,
21076,1487906,OFS CAPITAL CORP,"CFO, Chief Financial Officer",,,,,
16149,1487918,STELLA-JONES INC,"CEO, Chief Executive Officer",,,,,
16149,1487918,STELLA-JONES INC,"CFO, Chief Financial Officer",,,,,
30421,1487936,VISHAY PRECISION GROUP INC,"CEO, Chief Executive Officer",,,,,
30421,1487936,VISHAY PRECISION GROUP INC,"CFO, Chief Financial Officer",,,,,
185138,1487952,HAWAIIAN TELCOM HOLDCO INC,"CEO, Chief Executive Officer",,,,,
185138,1487952,HAWAIIAN TELCOM HOLDCO INC,"CFO, Chief Financial Officer",,,,,
185980,1487986,ATOSSA GENETICS INC,"CEO, Chief Executive Officer",,,,,
185980,1487986,ATOSSA GENETICS INC,"CFO, Chief Financial Officer",,,,,
185659,1488039,INTRALINKS HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
185659,1488039,INTRALINKS HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
184676,1488075,AMERESCO INC,"CEO, Chief Executive Officer",,,,,
184676,1488075,AMERESCO INC,"CFO, Chief Financial Officer",,,,,
185128,1488139,LABRADOR IRON MINES HLDG LTD,"CEO, Chief Executive Officer",,,,,
185128,1488139,LABRADOR IRON MINES HLDG LTD,"CFO, Chief Financial Officer",,,,,
178951,1488158,ALLANA POTASH CORP,"CEO, Chief Executive Officer",,,,,
178951,1488158,ALLANA POTASH CORP,"CFO, Chief Financial Officer",,,,,
145106,1488332,SINO AGRO FOOD INC,"CEO, Chief Executive Officer",,,,,
145106,1488332,SINO AGRO FOOD INC,"CFO, Chief Financial Officer",,,,,
22789,1488419,CANNEX CAPITAL HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
22789,1488419,CANNEX CAPITAL HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
33237,1488453,WESTERN ENERGY SERVICES CORP,"CEO, Chief Executive Officer",,,,,
33237,1488453,WESTERN ENERGY SERVICES CORP,"CFO, Chief Financial Officer",,,,,
105590,1488469,FOUNDATION MEDICINE INC,"CEO, Chief Executive Officer",,,,,
105590,1488469,FOUNDATION MEDICINE INC,"CFO, Chief Financial Officer",,,,,
18469,1488613,SECURE ENERGY SERVICES INC,"CEO, Chief Executive Officer",,,,,
18469,1488613,SECURE ENERGY SERVICES INC,"CFO, Chief Financial Officer",,,,,
184582,1488627,CUSTOMERS BANCORP INC,"CEO, Chief Executive Officer",,,,,
184582,1488627,CUSTOMERS BANCORP INC,"CFO, Chief Financial Officer",,,,,
170396,1488813,ELECTROMED INC,"CEO, Chief Executive Officer",,,,,
170396,1488813,ELECTROMED INC,"CFO, Chief Financial Officer",,,,,
185125,1488917,SCIO DIAMOND TECHNOLOGY CORP,"CEO, Chief Executive Officer",,,,,
185125,1488917,SCIO DIAMOND TECHNOLOGY CORP,"CFO, Chief Financial Officer",,,,,
186096,1488934,THERMON GROUP HOLDINGS INC,"CEO, Chief Executive Officer",,,,,
186096,1488934,THERMON GROUP HOLDINGS INC,"CFO, Chief Financial Officer",,,,,
186360,1489096,SEMGROUP CORP,"CEO, Chief Executive Officer",,,,,
186360,1489096,SEMGROUP CORP,"CFO, Chief Financial Officer",,,,,
184035,1489136,MOLYCORP INC,"CEO, Chief Executive Officer",,,,,
184035,1489136,MOLYCORP INC,"CFO, Chief Financial Officer",,,,,
7509,1489137,SMART TECHNOLOGIES INC,"CEO, Chief Executive Officer",,,,,
7509,1489137,SMART TECHNOLOGIES INC,"CFO, Chief Financial Officer",,,,,
182331,1489147,ZINC ONE RESOURCES INC,"CEO, Chief Executive Officer",,,,,
182331,1489147,ZINC ONE RESOURCES INC,"CFO, Chief Financial Officer",,,,,
178186,1489353,LYONDELLBASELL INDUSTRIES NV,"CEO, Chief Executive Officer",,,,,
178186,1489353,LYONDELLBASELL INDUSTRIES NV,"CFO, Chief Financial Officer",,,,,
294524,1489393,GRATITUDE HEALTH INC,"CEO, Chief Executive Officer",,,,,
294524,1489393,GRATITUDE HEALTH INC,"CFO, Chief Financial Officer",,,,,
22733,1489588,GOLDEN GROWERS COOPERATIVE,"CEO, Chief Executive Officer",,,,,
22733,1489588,GOLDEN GROWERS COOPERATIVE,"CFO, Chief Financial Officer",,,,,
20658,1489874,CHINA GEWANG BIOTECH INC,"CEO, Chief Executive Officer",,,,,
20658,1489874,CHINA GEWANG BIOTECH INC,"CFO, Chief Financial Officer",,,,,
22865,1489902,FRESH MARKET INC,"CEO, Chief Executive Officer",,,,,
22865,1489902,FRESH MARKET INC,"CFO, Chief Financial Officer",,,,,
184807,1489979,FULL CIRCLE CAPITAL CORP,"CEO, Chief Executive Officer",,,,,
184807,1489979,FULL CIRCLE CAPITAL CORP,"CFO, Chief Financial Officer",,,,,
185483,1490013,CLINE MINING CORP,"CEO, Chief Executive Officer",,,,,
185483,1490013,CLINE MINING CORP,"CFO, Chief Financial Officer",,,,,
